standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Buffalo Park,South Africa,81.2012987012987,90.06410256410257,85.63270063270063,76.89170204795205,85.63270063270063,1,Historical Venue Data
Wanderers Stadium,South Africa,87.66233766233765,75.06410256410257,81.36322011322011,76.89170204795205,81.36322011322011,2,Historical Venue Data
Kingsmead,South Africa,82.14285714285714,75.51282051282053,78.82783882783883,76.89170204795205,78.82783882783883,3,Historical Venue Data
Boland Park,South Africa,79.02597402597404,77.56410256410257,78.2950382950383,76.89170204795205,78.2950382950383,4,Historical Venue Data
Harare Sports Club,South Africa,,,,76.89170204795205,76.89170204795205,5,Team Fallback
Queens Sports Club,South Africa,,,,76.89170204795205,76.89170204795205,6,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,South Africa,,,,76.89170204795205,76.89170204795205,7,Team Fallback
Namibia Cricket Ground,South Africa,,,,76.89170204795205,76.89170204795205,8,Team Fallback
SuperSport Park,South Africa,90.25974025974024,60.57692307692308,75.41833166833166,76.89170204795205,75.41833166833166,9,Historical Venue Data
Mangaung Oval,South Africa,81.75324675324676,66.08974358974359,73.92149517149517,76.89170204795205,73.92149517149517,10,Historical Venue Data
Newlands,South Africa,74.6103896103896,72.11538461538463,73.36288711288711,76.89170204795205,73.36288711288711,11,Historical Venue Data
St George's Park,South Africa,51.688311688311686,84.93589743589743,68.31210456210457,76.89170204795205,68.31210456210457,12,Historical Venue Data
Queens Sports Club,Sri Lanka,59.38311688311689,71.15384615384616,65.26848151848152,39.75042814328528,65.26848151848152,1,Historical Venue Data
Harare Sports Club,Sri Lanka,54.15584415584415,66.08974358974359,60.12279387279387,39.75042814328528,60.12279387279387,2,Historical Venue Data
Newlands,Sri Lanka,66.94805194805195,19.423076923076923,43.18556443556444,39.75042814328528,43.18556443556444,3,Historical Venue Data
Mangaung Oval,Sri Lanka,,,,39.75042814328528,39.75042814328528,4,Team Fallback
Boland Park,Sri Lanka,,,,39.75042814328528,39.75042814328528,5,Team Fallback
Buffalo Park,Sri Lanka,,,,39.75042814328528,39.75042814328528,6,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Sri Lanka,,,,39.75042814328528,39.75042814328528,7,Team Fallback
Namibia Cricket Ground,Sri Lanka,,,,39.75042814328528,39.75042814328528,8,Team Fallback
SuperSport Park,Sri Lanka,34.31818181818182,42.82051282051282,38.569347319347315,39.75042814328528,38.569347319347315,9,Historical Venue Data
Kingsmead,Sri Lanka,17.467532467532468,38.46153846153845,27.96453546453546,39.75042814328528,27.96453546453546,10,Historical Venue Data
St George's Park,Sri Lanka,20.12987012987013,26.987179487179482,23.55852480852481,39.75042814328528,23.55852480852481,11,Historical Venue Data
Wanderers Stadium,Sri Lanka,22.564935064935064,16.602564102564102,19.583749583749583,39.75042814328528,19.583749583749583,12,Historical Venue Data
Harare Sports Club,West Indies,61.72077922077922,64.74358974358975,63.232184482184486,47.34105180533752,63.232184482184486,1,Historical Venue Data
Queens Sports Club,West Indies,55.29220779220779,64.8076923076923,60.04995004995005,47.34105180533752,60.04995004995005,2,Historical Venue Data
St George's Park,West Indies,50.194805194805184,54.55128205128205,52.373043623043614,47.34105180533752,52.373043623043614,3,Historical Venue Data
Buffalo Park,West Indies,46.883116883116884,55.76923076923077,51.32617382617383,47.34105180533752,51.32617382617383,4,Historical Venue Data
Newlands,West Indies,,,,47.34105180533752,47.34105180533752,5,Team Fallback
Mangaung Oval,West Indies,,,,47.34105180533752,47.34105180533752,6,Team Fallback
Boland Park,West Indies,,,,47.34105180533752,47.34105180533752,7,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,West Indies,,,,47.34105180533752,47.34105180533752,8,Team Fallback
Namibia Cricket Ground,West Indies,,,,47.34105180533752,47.34105180533752,9,Team Fallback
Kingsmead,West Indies,30.77922077922078,52.05128205128206,41.41525141525142,47.34105180533752,41.41525141525142,10,Historical Venue Data
Wanderers Stadium,West Indies,61.94805194805195,1.1217948717948714,31.534923409923408,47.34105180533752,31.534923409923408,11,Historical Venue Data
SuperSport Park,West Indies,52.1103896103896,10.80128205128205,31.455835830835827,47.34105180533752,31.455835830835827,12,Historical Venue Data
Harare Sports Club,Zimbabwe,51.81818181818182,67.37179487179488,59.59498834498835,45.52104145854146,59.59498834498835,1,Historical Venue Data
Wanderers Stadium,Zimbabwe,,,,45.52104145854146,45.52104145854146,2,Team Fallback
SuperSport Park,Zimbabwe,,,,45.52104145854146,45.52104145854146,3,Team Fallback
Newlands,Zimbabwe,,,,45.52104145854146,45.52104145854146,4,Team Fallback
Kingsmead,Zimbabwe,,,,45.52104145854146,45.52104145854146,5,Team Fallback
St George's Park,Zimbabwe,,,,45.52104145854146,45.52104145854146,6,Team Fallback
Buffalo Park,Zimbabwe,,,,45.52104145854146,45.52104145854146,7,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Zimbabwe,,,,45.52104145854146,45.52104145854146,8,Team Fallback
Namibia Cricket Ground,Zimbabwe,,,,45.52104145854146,45.52104145854146,9,Team Fallback
Queens Sports Club,Zimbabwe,33.40909090909091,55.256410256410255,44.33275058275058,45.52104145854146,44.33275058275058,10,Historical Venue Data
Mangaung Oval,Zimbabwe,2.792207792207792,79.48717948717949,41.13969363969364,45.52104145854146,41.13969363969364,11,Historical Venue Data
Boland Park,Zimbabwe,29.61038961038961,44.42307692307692,37.01673326673327,45.52104145854146,37.01673326673327,12,Historical Venue Data
